opening[mm];wire dia[mm] std;wire dia[mm] stn;fi_std
8;2.5;2.5;2.5
10;3, 4;3, 4;4
12;4.5;4.5;4.5
15;5;5;5
18;5.5;5.5;5.5
19.5;6.5;;6.5
20;5.5, 6;5.5, 6;6
22;6;6;6
24;4.5;4.5;4.5
25;6.5;;6.5
30;7;;7
31.5;5;5;5
32;8;;8
35;8;;8
40;8, 9;;9
45;10;;10
50;10, 12;;10
55;10, 12;;10
60;10, 12;;10
65;10, 12;;10
70;12;;12
75;12;;0
80;12;;12
90;12;;12
100;12;;12
120;12;;12
