wire dia[mm] std;opening[mm]
1;2, 2.5, 3, 3.5, 4, 5, 6, 7, 8
2;8, 9, 10, 12, 14, 16, 15, 20, 18, 25, 13, 22, 11
0.65;1.5, 2, 2.5, 3, 3.5, 4, 5, 1.2, 1.7
0.85;1.5, 2, 2.5, 3, 3.5, 4, 5, 1.7, 1.8
1.1;2.5, 3, 3.5, 4, 5, 6, 7, 8
1.2;2.5, 3, 3.5, 4, 5, 6, 7, 8, 9, 10, 12, 11
1.3;3, 3.5, 4, 5, 6, 7, 8, 9, 10, 12, 11
1.5;3.5, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 13, 11
1.8;4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 15, 20, 18, 13, 22, 11
